component_id,lot_id,device_variant,disposition_B,risk_B,driving_parameter,driving_headroom_frac,n_params_predicted,n_params_flagged,confidence,extrapolation_flag,reason_code,reason_text,contract_version,model_bundle_version,feature_set_version,train_data_version,generator_seed,split_version,inputs_max_epoch_h,run_id,predicted_at
C0233,L005,CMOS_A,PASS,0.0551,Output_Fall_Time_ns,0.9449,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0234,L005,CMOS_A,PASS,0.0696,Output_Fall_Time_ns,0.9304,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0235,L005,CMOS_A,PASS,0.2057,Supply_Current_ICC_uA,0.7943,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0236,L005,CMOS_A,PASS,0.0819,Output_Fall_Time_ns,0.9181,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0237,L005,CMOS_A,PASS,0.0677,Supply_Current_ICC_uA,0.9323,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0238,L005,CMOS_A,PASS,0.0073,Input_Leakage_Current_uA,0.9927,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0239,L005,CMOS_A,PASS,0.0565,Output_Rise_Time_ns,0.9435,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0240,L005,CMOS_A,PASS,0.0343,Output_Rise_Time_ns,0.9657,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0241,L005,CMOS_A,PASS,0.034,Supply_Current_ICC_uA,0.966,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0242,L005,CMOS_A,MONITOR,0.0573,Output_Rise_Time_ns,0.9427,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0243,L005,CMOS_A,PASS,0.1642,Supply_Current_ICC_uA,0.8358,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0244,L005,CMOS_A,PASS,0.1663,Supply_Current_ICC_uA,0.8337,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0245,L005,CMOS_A,PASS,0.0,IDDQ_uA,1.0002,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0246,L005,CMOS_A,PASS,0.0668,Supply_Current_ICC_uA,0.9332,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0247,L005,CMOS_A,PASS,0.1281,Supply_Current_ICC_uA,0.8719,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0248,L005,CMOS_A,PASS,0.0,Input_Leakage_Current_uA,1.0014,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0249,L005,CMOS_A,PASS,0.0462,Output_Rise_Time_ns,0.9538,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0250,L005,CMOS_A,PASS,0.2321,Supply_Current_ICC_uA,0.7679,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0251,L005,CMOS_A,PASS,0.0033,IDDQ_uA,0.9967,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0252,L005,CMOS_A,MONITOR,0.04,Output_Rise_Time_ns,0.96,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0253,L005,CMOS_A,PASS,0.0673,Supply_Current_ICC_uA,0.9327,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0254,L005,CMOS_A,PASS,0.0518,Output_Fall_Time_ns,0.9482,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0255,L005,CMOS_A,PASS,0.1684,Supply_Current_ICC_uA,0.8316,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0256,L005,CMOS_A,PASS,0.1598,Supply_Current_ICC_uA,0.8402,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0257,L005,CMOS_A,PASS,0.0321,Propagation_Delay_ns,0.9679,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0258,L005,CMOS_A,MONITOR,0.0775,Output_Rise_Time_ns,0.9225,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0259,L005,CMOS_A,PASS,0.0082,Input_Leakage_Current_uA,0.9918,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0260,L005,CMOS_A,MONITOR,0.9448,Supply_Current_ICC_uA,0.0552,6,3,LOW,True,B_MARGIN_LOW,Predicted 168 h Supply_Current_ICC_uA leaves only 5.5% of the headroom between the lot baseline and the 700.0 uA limit.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0261,L005,CMOS_A,PASS,0.0204,Output_Fall_Time_ns,0.9796,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0262,L005,CMOS_A,PASS,0.065,Supply_Current_ICC_uA,0.935,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0263,L005,CMOS_A,PASS,0.1209,Supply_Current_ICC_uA,0.8791,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0264,L005,CMOS_A,PASS,0.0091,Input_Leakage_Current_uA,0.9909,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0265,L005,CMOS_A,PASS,0.1917,Supply_Current_ICC_uA,0.8083,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0266,L005,CMOS_A,MONITOR,0.0997,Output_Rise_Time_ns,0.9529,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0267,L005,CMOS_A,PASS,0.1196,Supply_Current_ICC_uA,0.8804,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0268,L005,CMOS_A,PASS,0.0333,Supply_Current_ICC_uA,0.9667,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0269,L005,CMOS_A,PASS,0.2551,Supply_Current_ICC_uA,0.7449,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0270,L005,CMOS_A,PASS,0.099,Supply_Current_ICC_uA,0.901,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0271,L005,CMOS_A,PASS,0.0371,Output_Rise_Time_ns,0.9629,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0272,L005,CMOS_A,PASS,0.0726,Supply_Current_ICC_uA,0.9274,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0273,L005,CMOS_A,PASS,0.0956,Supply_Current_ICC_uA,0.9044,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0274,L006,CMOS_A,MONITOR,0.1121,Output_Rise_Time_ns,0.9774,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0275,L006,CMOS_A,MONITOR,0.158,Output_Rise_Time_ns,0.9857,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0276,L006,CMOS_A,MONITOR,0.0589,Output_Rise_Time_ns,0.9411,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0277,L006,CMOS_A,PASS,0.0335,Propagation_Delay_ns,0.9665,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0278,L006,CMOS_A,MONITOR,0.1698,Output_Rise_Time_ns,0.9595,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0279,L006,CMOS_A,PASS,0.2107,Supply_Current_ICC_uA,0.7893,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0280,L006,CMOS_A,PASS,0.1622,Supply_Current_ICC_uA,0.8378,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0281,L006,CMOS_A,PASS,0.0108,Output_Fall_Time_ns,0.9892,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0282,L006,CMOS_A,MONITOR,0.0513,Output_Rise_Time_ns,0.9879,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0283,L006,CMOS_A,PASS,0.0214,Input_Leakage_Current_uA,0.9786,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0284,L006,CMOS_A,MONITOR,0.0369,Output_Rise_Time_ns,0.969,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0285,L006,CMOS_A,PASS,0.0142,Input_Leakage_Current_uA,0.9858,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0286,L006,CMOS_A,PASS,0.0499,Output_Fall_Time_ns,0.9501,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0287,L006,CMOS_A,MONITOR,0.135,Output_Rise_Time_ns,0.9603,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0288,L006,CMOS_A,PASS,0.0556,Supply_Current_ICC_uA,0.9444,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0289,L006,CMOS_A,MONITOR,0.0395,Output_Rise_Time_ns,0.9605,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0290,L006,CMOS_A,PASS,0.0369,Propagation_Delay_ns,0.9631,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
